Acct,Vendor,Material,Material_Description,Image,ImageNum
282,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.53PM_1.jpg?v=1614744341,2
,,,,,
283,Saroj Fabrics,Brocade,Royal blue with golden zari bhutta brocade ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.59PM_17.jpg?v=1614740063,1
,,,,,
284,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.59PM_16.jpg?v=1614740063,2
,,,,,
285,Saroj Fabrics,Brocade,Sunshine yellow with  golden zari flower bhutta brocade ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.59PM_9.jpg?v=1614739925,1
,,,,,
286,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.59PM_8.jpg?v=1614739925,2
,,,,,
289,Saroj Fabrics,Brocade,Bright pink  with  golden zari flower bhutta brocade ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.59PM_11.jpg?v=1614739774,1
,,,,,
290,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.45.59PM_10.jpg?v=1614739774,2
,,,,,
377,Saroj Fabrics,Embroidered Korean Silk,White with red and gold zari embroided raw silk,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.54.15AM_1.jpg?v=1612963640,1
,,,,,
378,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.54.15AM_2.jpg?v=1612963640,2
,,,,,
379,Saroj Fabrics,Embroidered Net,"White net with gold, red and green embroided  fabric",https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.54.14AM_10.jpg?v=1612963426,1
,,,,,
380,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.54.14AM_9.jpg?v=1612963426,2
,,,,,
381,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-05at11.54.14AM_11.jpg?v=1612963417,3
,,,,,
391,Saroj Fabrics,Embroidered Georgette,White georgette with gold sequin and white embroidery,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-01-25at4.54.13PM.jpg?v=1612955452,1
,,,,,
